paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
11,14,"Thấy Tấm cũng muốn đi, mụ dì ghẻ nguýt dài. Sau đó mụ lấy một đấu gạo trộn lẫn với một đấu thóc, bảo Tấm: ""Con hãy nhặt cho xong chỗ gạo này rồi có đi đâu hãy đi, đừng có bỏ dở, về không có gì để thổi cơm dì đánh đó"". Nói đoạn, hai mẹ con quần áo xúng xính lên đường, Tấm ngồi nhặt một lúc mà chỉ mới được một nhúm, nghĩ rằng không biết bao giờ mới nhặt xong, buồn bã, bèn khóc một mình.","The stepmother saw Tam looking at the crowd and scowled. She mixed a basket of white rice with a basket of unhusked paddy. ""Separate these grains before you go,"" she ordered, pointing a threatening finger. ""If not, I will beat you."" They left. Tam sat alone in the courtyard, picking grains one by one. The pile was huge. She began to cry, tears falling onto the rice.","Traditional Vietnamese painting style, a mean woman mixing black paddy with white rice in a large flat basket, Kind village girl sitting on the ground looking devastated, sharp facial expressions, highly detailed, masterpiece quality.","Stepmother,Kind village girl",Mixing,Rice and paddy
12,14,"Giữa lúc ấy Bụt hiện lên, hỏi: ""Con làm sao lại khóc?"". Tấm chỉ vào cái thúng, thưa: ""Dì con bắt phải nhặt thóc cho ra thóc, gạo ra gạo, rồi mới được đi xem hội. Lúc nhặt xong thì hội đã tan rồi, còn gì nữa mà xem"". Bụt bảo: ""Con đừng khóc nữa. Con mang cái thúng đặt ra giữa sân, để ta sai một đàn chim sẻ xuống nhặt giúp"".","The Buddha appeared. ""Why do you cry?"" he asked. Tam pointed to the mixed basket. ""My stepmother forced me to sort this. By the time I finish, the festival will be over."" The Buddha smiled gently. ""Place the basket in the center of the yard. I will send a flock of sparrows to help you."" He taught her a protection spell.","Traditional Vietnamese painting style, a benevolent Kind old sage appearing in a sunny courtyard, Kind village girl pointing to a basket of mixed grains, hopeful atmosphere, highly detailed, professional artwork.","Kind old sage,Kind village girl",Appearing,In courtyard
13,14,"Tự nhiên ở trên không có một đàn chim sẻ đáp xuống sân nhặt thóc ra một đằng, gạo ra một nẻo. Chúng nó lăng xăng ríu rít chỉ trong một lát đã làm xong, không suy suyển một hạt. Nhưng khi chim sẻ đã bay đi rồi, Tấm lại nức nở khóc. Bụt lại hỏi: ""Con làm sao còn khóc nữa?"". ""Con rách rưới quá, người ta không cho con vào xem hội"".","Suddenly, a cloud of sparrows descended. They chirped and pecked, sorting the grains into two clean piles in minutes, eating none. They flew away. Tam looked at the finished piles but cried again. The Buddha asked, ""Why do you still weep?"" Tam touched her ragged clothes. ""Look at my rags. I cannot go to the festival like this.""","Traditional Vietnamese painting style, a flock of hundreds of tiny sparrows descending into a courtyard to sort grain, Kind village girl looking on in wonder, dynamic bird movement, 8k resolution, professional artwork.","Sparrows,Kind village girl",Sorting,Grain
14,14,"Bụt bảo: ""Con hãy đào những cái lọ xương bống đã chôn ngày trước lên thì sẽ có đủ mọi thứ cho con trẩy hội"". Tấm vâng lời, đi đào các lọ lên. Đào lọ thứ nhất lấy ra được một bộ áo mớ ba, một cái xống lụa, một cái yếm lụa điều và một cái khăn nhiễu. Đào lọ thứ hai lấy được một đôi giày thêu, đi vừa như in. Lọ thứ ba đào lên thì thấy một con ngựa bé tí, nhưng vừa đặt con ngựa xuống đất bỗng chốc nó hí vang lên và biến thành ngựa thật. Đào đến lọ cuối cùng thì lấy ra được một bộ yên cương xinh xắn.","""Dig up the four jars,"" the Buddha said. Tam dug them up. From the first jar came a magnificent three-layered silk gown and a red bodice. The second jar held delicate embroidered shoes. The third contained a tiny horse statue; when it touched the ground, it grew into a real, majestic white horse. The last jar produced a saddle glittering with jewels.","Traditional Vietnamese painting style, a majestic white horse appearing from a jar, Kind village girl holding a beautiful silk gown and embroidered shoes, magical transformation scene, golden aura, 8k resolution, professional artwork.",Kind village girl,Unearthing,Magic gifts
15,14,"Tấm mừng quá vội tắm rửa rồi thắng bộ vào, đoạn cưỡi lên ngựa mà đi. Ngựa phóng một chốc đã đến kinh đô. Nhưng khi phóng qua một chỗ lội, Tấm đánh rơi một chiếc giày xuống nước không kịp nhặt. Khi ngựa dừng lại ở đám hội, Tấm lấy khăn gói chiếc giày còn lại rồi chen vào biển người.","Tam bathed and put on the silk robes. She mounted the horse, which galloped swiftly. Crossing a stream, she accidentally dropped one embroidered shoe into the water. Unable to stop, she wrapped the remaining shoe in a scarf and entered the festival, blending into the sea of people.","Traditional Vietnamese painting style, Kind village girl in a glowing pink silk dress riding a white horse at full gallop, a small embroidered shoe falling into a clear stream, dynamic action shot, highly detailed, masterpiece quality.","Kind village girl,White Horse",Dropping,Shoe
16,14,"Giữa lúc ấy thì đoàn xa giá cũng vừa tiến đến chỗ lội. Hai con voi ngự dẫn đầu đoàn đến đây tự nhiên cắm ngà xuống đất kêu rống lên không chịu đi. Vua sai quân lính xuống nước thử tìm xem; họ nhặt ngay được chiếc giày thêu của Tấm đánh rơi lúc nãy. Vua ngắm nghía chiếc giày không chán mắt, bụng bảo dạ: ""Chà, một chiếc giày thật xinh! Người đi giày này hẳn phải là trang tuyệt sắc"".","The King's procession arrived at the stream. The two royal elephants suddenly stopped, planting their tusks in the mud and trumpeting loudly. The King ordered guards to search the water. They retrieved the embroidered shoe. The King held the tiny, exquisite shoe, thinking, ""The owner of this shoe must be a woman of rare beauty.""","Traditional Vietnamese painting style, two royal elephants with ornate saddles stopping at a stream, guards picking up a tiny golden shoe from the water, the King looking curious, 8k resolution, professional artwork.","Elephants,King",Stopping,At stream
17,14,"Lập tức vua hạ lệnh cho rao mời tất cả đám đàn bà con gái đi xem hội đến ướm thử, hễ ai đi vừa chiếc giày thì vua sẽ lấy làm vợ. Đám hội lại càng náo nhiệt vì các bà, các cô chen nhau đến chỗ thử giày. Cô nào cô ấy lần lượt kéo vào ngôi lầu giữa bãi cỏ rộng để ướm thử một tý cầu may. Nhưng chả có một chân nào đi vừa cả. Mẹ con Cám cũng trong số đó.","The King proclaimed: ""Any woman whose foot fits this shoe shall be my Queen."" The festival erupted in excitement. Women crowded the royal pavilion to try it on. One by one, they failed—feet too big or too wide. Cam and her mother pushed through the crowd to try, but the shoe was far too small for them.","Traditional Vietnamese painting style, many women in traditional festival attire trying on a tiny shoe at a royal pavilion, Jealous stepsister and her mother looking frustrated, wide shot, highly detailed, masterpiece quality.","Women,Jealous stepsister,Stepmother",Trying on,The shoe
18,14,"Khi Cám và dì ghẻ bước ra khỏi lầu thì gặp Tấm. Cám mách mẹ: ""Mẹ ơi, ai như chị Tấm cũng đi thử giày đấy!"". Mụ dì ghẻ của Tấm bĩu môi: ""Con nỡm! Chuông khánh còn chả ăn ai, Nữa là mảnh chỉnh vứt ngoài bờ tre"". Nhưng khi Tấm đặt chân vào giày thì vừa như in. Nàng mở khăn lấy chiếc thứ hai đi vào. Hai chiếc giày giống nhau như đúc.","As they left, Cam saw Tam. She pointed, ""Mother! Is that Tam trying to be Queen?"" The stepmother sneered, lip curling, ""That wretched girl? Impossible!"" But Tam stepped forward. Her foot slid perfectly into the shoe. She then pulled the matching shoe from her scarf and put it on. The pair was complete.","Traditional Vietnamese painting style, Kind village girl kneeling and perfectly fitting her foot into the shoe, holding the second matching shoe, the stepmother and Jealous stepsister shocked in the background, 8k resolution, professional artwork.","Kind village girl,Jealous stepsister,Stepmother",Fitting,The shoe
19,14,"Bọn lính hầu hò reo vui mừng. Lập tức vua sai đoàn thị nữ rước nàng vào cung. Tấm bước lên kiệu trước con mắt ngạc nhiên và hằn học của mẹ con Cám. Tuy sống trong hoàng cung, Tấm vẫn không quên ngày giỗ cha. Nàng xin phép vua trở về nhà để soạn cỗ cúng giúp dì. Mẹ con Cám thấy Tấm sung sướng thì ghen ghét để bụng.","Soldiers cheered. The King ordered a golden palanquin to carry Tam to the palace. Tam ascended the carriage, leaving Cam and the stepmother staring with mouths open and eyes burning with envy. Later, on her father's death anniversary, Tam returned home to help prepare the altar, still dutiful despite her royal status.","Traditional Vietnamese painting style, Kind village girl sitting inside a golden royal palanquin carried by guards, Jealous stepsister and stepmother looking on with green envy, palace gates in the background, highly detailed, masterpiece quality.","Kind village girl,King,Jealous stepsister,Stepmother",Ascending,Palanquin
20,14,"Nay thấy Tấm về, lòng ghen ghét lại bừng bừng bốc lên. Nghĩ ra được một mưu, mụ dì ghẻ bảo Tấm: ""Trước đây con quen trèo cau, con hãy trèo xé lấy một buồng để cúng bố"". Tấm vâng lời trèo lên cây cau. Lúc lên đến sát buồng thì ở dưới này mụ dì cầm dao đẵn gốc. Thấy cây rung chuyển, Tấm hỏi: ""Dì làm gì dưới gốc thế?"". ""Gốc cau lắm kiến, dì đuổi kiến cho nó khỏi lên đốt con"".","Seeing Tam's beauty, the stepmother's face darkened with malice. She handed Tam a basket. ""Climb the areca tree and pick a cluster of nuts for your father,"" she said sweetly. Tam climbed the tall, slender trunk. Below, the stepmother swung a heavy axe at the tree base. Chop! Chop! ""What are you doing?"" Tam yelled as the tree shook. ""Just killing ants!"" the stepmother lied, swinging harder.","Traditional Vietnamese painting style, Kind village girl climbing a tall slender areca tree, the stepmother below swinging a sharp axe at the trunk, sinister atmosphere, vertical composition, 8k resolution, professional artwork.","Stepmother,Kind village girl",Chopping,Areca tree
21,14,"Nhưng Tấm chưa kịp xé cau thì cây đã đổ, Tấm ngã lộn cổ xuống ao, chết. Mụ dì ghẻ vội vàng lột áo quần của Tấm cho con mình mặc vào rồi đưa vào cung nói dối với vua rằng Tấm không may bị rơi xuống ao chết đuối, nay đưa em vào để thế chị. Vua nghe nói trong bụng không vui nhưng vẫn không nói gì cả.","The tree snapped. It crashed down, throwing Tam into the deep pond where she drowned. The stepmother stripped the royal robes from Tam's body and dressed Cam in them. She took Cam to the palace, lying to the King about an accident. The King sat silently on his throne, his face filled with grief and suspicion, but he accepted Cam.","Traditional Vietnamese painting style, a tall tree falling into a dark pond, Jealous stepsister dressed in Kind village girl's royal silks standing next to her mother, the King sitting sadly on his throne, dramatic and tragic, masterpiece quality.","Kind village girl,Jealous stepsister,Stepmother,King",Falling,Into pond
22,14,"Lại nói chuyện Tấm chết hóa thành chim vàng anh. Chim bay một mạch về kinh đến vườn ngự. Thấy Cám đang ngồi giặt áo cho vua ở giếng, vàng anh dừng lại trên một cành cây, bảo nó: ""Phơi áo chồng tao phơi lao phơi sào, chớ phơi bờ rào, rách áo chồng tao"". Rồi chim vàng anh bay thẳng vào cung đậu ở cửa sổ, hót lên rất vui tai. Vua đi đâu, chim bay đến đó.","Tam's spirit became a Golden Oriole bird with bright yellow feathers. It flew to the palace garden. Seeing Cam washing the King's clothes, the bird perched on a branch and chirped, ""Wash carefully! Hang them on a pole, not the thorny fence!"" The bird then flew to the King's window, singing a beautiful melody, following him everywhere.","Traditional Vietnamese painting style, a bright yellow oriole bird perched on a branch, chirping at Jealous stepsister who is washing clothes by a well, palace garden scenery, highly detailed, 8k resolution.","Oriole bird,Jealous stepsister",Scolding,Cam
23,14,"Vua đang nhớ Tấm không nguôi, thấy chim quyến luyến theo mình, vua bảo: ""Vàng ảnh vàng anh, có phải vợ anh, chui vào tay áo"". Chim vàng anh bay lại đậu vào tay vua, rồi rúc vào tay áo. Vua yêu quý vàng anh quên cả ăn ngủ. Vua sai làm một cái lồng bằng vàng cho chim ở. Từ đó, ngày đêm vua chỉ mê mải với chim không tưởng đến Cám.","The King, missing his wife, held out his hand. ""Golden Oriole, if you are my wife, fly into my sleeve."" The bird flew down and nestled inside his wide silk sleeve. Overjoyed, the King built a cage of pure gold for the bird. He spent all day talking to it, ignoring Cam completely.","Traditional Vietnamese painting style, the King in royal robes letting a yellow bird fly into his wide silk sleeve, a golden cage nearby, tender and mystical scene, 8k resolution, professional artwork.","King,Oriole bird",Flying into,King's sleeve
24,14,"Cám vội về nhà mách mẹ. Mẹ nó bảo cứ bắt chim làm thịt ăn rồi kiếm điều nói dối vua. Trở lại cung vua, Cám nhân lúc vua đi vắng, bắt chim làm thịt ăn, rồi vứt lông chim ở ngoài vườn. Thấy mất vàng anh, vua hỏi, Cám đáp: ""Thiếp có mang thèm ăn thịt chim nên trộm phép bệ hạ đã giết thịt ăn mất rồi"". Vua không nói gì cả.","Furious, Cam went home to complain. Her mother made a slashing motion across her neck. Back at the palace, while the King was away, Cam caught the bird, killed it, and ate it. She buried the yellow feathers in the garden. When the King returned, Cam lied, ""I craved bird meat, so I ate it."" The King clenched his jaw but remained silent.","Traditional Vietnamese painting style, Jealous stepsister killing the bird with a knife, burying bright yellow feathers in the palace garden under a dark sky, treacherous expression, highly detailed, masterpiece quality.","Jealous stepsister,Oriole bird",Killing,Oriole bird
25,14,"Lông chim vàng anh chôn ở vườn hóa ra hai cây xoan đào. Khi vua đi chơi vườn ngự, cành lá của chúng sà xuống che kín thành bóng tròn như hai cái lọng. Vua thấy cây đẹp rợp bóng, sai lính hầu mắc võng vào hai cây rồi nằm chơi hóng mát. Khi vua đi khỏi thì cành cây lại vươn thẳng trở lại. Từ đó, không ngày nào là vua không ra nằm hóng mát ở hai cây xoan đào.","From the feathers, two Peach Pine trees grew tall overnight. Their branches curved down like green parasols. When the King walked beneath them, the leaves brushed his face gently. He ordered a hammock tied between the trunks and rested there daily. The trees seemed to hug him. When he left, the branches straightened up.","Traditional Vietnamese painting style, the King lying in a hammock between two lush green trees with drooping branches, the trees providing shade like a parasol, peaceful palace garden, 8k resolution.","King,Trees",Shading,The King
26,14,"Cám biết chuyện lại về mách mẹ. Mẹ nó bảo cứ sai thợ chặt cây làm khung cửi rồi kiếm điều nói dối vua. Về đến cung, nhân một hôm gió bão, Cám sai thợ chặt hai cây xoan đào lấy gỗ đóng khung cửi. Thấy cây bị chặt, vua hỏi thì Cám đáp: ""Cây bị đổ vì bão, thiếp sai thợ chặt làm khung cửi để dệt áo cho bệ hạ"".","Cam saw this and told her mother. Her mother ordered her to cut them down. Waiting for a storm, Cam had servants chop the trees. She made a loom from the wood. She told the King, ""The storm felled them, so I made a loom for your clothes."" The King turned away, hiding his anger.","Traditional Vietnamese painting style, Jealous stepsister watching servants chop down two beautiful trees with axes during a storm, wood being carried away, cold and vengeful atmosphere, highly detailed, professional artwork.","King,Trees",Ordering,Trees chopped
27,14,"Nhưng khi khung cửi đóng xong, Cám ngồi dệt vào dệt lúc nào cũng nghe thấy tiếng khung cửi rủa mình: ""Cót ca cót két, Lấy tranh chồng chị, Chị khoét mắt ra"". Thấy vậy con Cám sợ hãi vội về mách mẹ. Mẹ nó bảo đốt quách khung cửi rồi đem tro đi đổ cho rõ xa để được yên tâm. Về đến cung, Cám làm như lời mẹ nói. Nó mang tro đã đốt đem đi đổ ở lề đường cách xa hoàng cung.","However, when Cam sat at the loom, the wood creaked loudly, sounding like a voice: ""Creak, creak! You stole your sister's husband; I will gouge out your eyes!"" Terrified, Cam ran to her mother. ""Burn it!"" the mother screamed. Cam burned the loom to ash and dumped the ash by a roadside far from the palace.","Traditional Vietnamese painting style, Jealous stepsister sitting at a wooden loom, looking terrified as the wood takes the shape of a screaming face, fire in the background as she burns it, dramatic lighting, masterpiece quality.","Jealous stepsister,Loom",Burning,The loom
28,14,"Đống tro bên đường lại mọc lên một cây thị cao lớn, cành lá sum suê. Đến mùa có quả, cây thị chỉ đậu được có một quả, nhưng mùi thơm tỏa ngát khắp nơi. Một bà lão hàng nước ở gần đó một hôm đi qua dưới gốc ngửi thấy mùi thơm, ngẩng đầu nhìn lên thấy quả thị trên cành cao, bèn giơ bị ra nói lẩm bẩm: ""Thị ơi thị, rụng vào bị bà, bà đem bà ngửi, chứ bà không ăn"".","From the ash pile, a large Thi tree grew. It bore a single golden fruit, radiating a sweet fragrance. An old woman with a tea stall passed by. She looked up and held open her cloth bag. ""O Thi fruit, fall into my bag; I will cherish your scent, I will not eat you."" The fruit dropped perfectly into her bag.","Traditional Vietnamese painting style, an old woman holding an open bag under a tall tree with a single golden fruit, the fruit falling into the bag, soft magical light, 8k resolution, professional artwork.","Magic persimmon,Old Woman",Falling into,Woman's bag
29,14,"Bà lão nâng niu đem về nhà cất trong buồng, thỉnh thoảng lại vào ngắm nghía và ngửi mùi thơm. Ngày nào bà lão cũng đi chợ vắng. Từ trong quả thị chui ra một cô gái thân hình bé nhỏ như ngón tay nhưng chỉ trong chớp mắt đã biến thành Tấm. Tấm vừa bước ra đã cầm lấy chổi quét dọn nhà cửa sạch sẽ, rồi đi vo gạo thổi cơm, hái rau ở vườn nấu canh giúp bà hàng nước. Đoạn Tấm lại thu hình bé nhỏ như cũ rồi chui vào vỏ quả thị.","The old woman placed the fruit in her room. Every day when she left for the market, Tam emerged from the fruit, transforming into a young woman. She swept the floor, cooked steaming rice, and prepared vegetable soup. Before the woman returned, Tam shrank back into the fruit. The old woman always found her home magically cleaned and dinner ready.","Traditional Vietnamese painting style, Kind village girl emerging from a golden fruit in a humble cottage, sweeping the floor and cooking, translucent magical effect, warm interior, highly detailed, masterpiece quality.","Kind village girl,Magic persimmon",Emerging from,The fruit
