paragraph_id,chapter,original_text,translated_text,prompt,subject,verb,object
1,2,"Ngày xưa, có một anh nông phu nhà rất nghèo, phải đi ở cho một phú ông. Phú ông tính rất keo kiệt. Đối với kẻ ăn người ở, hắn có rất nhiều mánh khóe để bòn công mà không phải trả thêm tiền. Trong nhà hắn có một cô con gái chưa gả chồng. Thấy anh đầy tớ tuổi đã lớn mà chưa có vợ, hắn vờ vịt: - Cứ cố làm việc đi con ạ! Lão sẽ gả con gái cho!","Long ago, there lived a very poor farmer who worked as a servant for a wealthy landowner. The landowner was extremely stingy and used many tricks to squeeze labor from his servants without paying them more. He had an unmarried daughter. Seeing that the servant was already grown but still without a wife, the landowner pretended to be kind and said that if the young man worked hard, he would give him his daughter in marriage.","Traditional Vietnamese painting style, a fat landowner wearing elaborate red silk robes with gold coin patterns, smirking with narrowed eyes and pointing a finger, standing opposite a thin farmer in tattered brown clothes, inside a grand wooden hall with carved pillars, sunlight filtering through blinds creating stripes on the floor, oppressive atmosphere, close-up portrait, masterpiece quality.",Fat Landowner,Pointing finger at,Thin Farmer
2,2,"Vốn tính thật thà nên khi nghe lời đường mật của chủ, anh chàng bỗng nuôi hy vọng làm rể phú ông. Từ đó, anh đổ sức ra làm việc không biết mệt. Trời chưa sáng anh đã lội bì bõm ở ngoài đồng; cho đến tận khuya vẫn còn trần lực xay lúa giã gạo, kéo trục, bện thừng, v.v... Bao nhiêu công việc của chủ giao, dù khó khăn nặng nhọc thế nào, anh cũng không từ chối.","Honest by nature, the young man believed his master’s sweet words and began to hope he might become the landowner’s son-in-law. From that day on, he worked without rest. Before dawn he waded through the muddy fields, and late into the night he labored at milling rice, pounding grain, pulling rollers, braiding rope, and many other tasks. No matter how hard or heavy the work was, he never refused.","Traditional Vietnamese painting style, a diligent young farmer in muddy brown clothes, bending forward to push a heavy wooden plow, wading through a wet rice field with a water buffalo, rural village silhouette in background, misty morning light diffising through fog, energetic mood, wide angle shot, highly detailed, 8k resolution.",Diligent Farmer,Pushing,Heavy wooden plow
3,2,Phú ông thấy mưu mình đắt thì mừng lắm. Đứa con gái của lão đời nào lão lại chịu gả cho hạng người như anh. Lão đã nhận lời gả cho con một nhà giàu ở làng bên cạnh vừa mang trầu cau đến chạm ngõ.,"The landowner was pleased to see his scheme working. He would never truly marry his daughter to a poor servant like him. In fact, he had already agreed to give her in marriage to a wealthy family from a neighboring village, who had brought betel leaves and areca nuts to propose.","Traditional Vietnamese painting style, a wealthy landowner in red silk robes, grinning widely while holding a golden betel tray, receiving offerings from a matchmaker in blue ao dai, inside a luxurious living room with pearl-inlaid furniture, warm yellow lamp light, festive atmosphere, highly detailed, masterpiece quality.",Wealthy Landowner,Holding,Golden betel tray
4,2,"Song để giấu anh, lão bắt mọi người phải giữ kín. Còn anh, anh vẫn không nghi ngờ gì cả, vẫn quần quật làm việc và gửi gắm hy vọng vào ông chủ.","To keep the truth hidden, the landowner ordered everyone in the household to remain silent. The servant suspected nothing and continued to work tirelessly, placing all his hopes in his master.","Traditional Vietnamese painting style, a muscular young farmer in sweat-soaked brown clothes, carrying two heavy sacks of rice on shoulders, walking near a large wooden barn, harsh afternoon sunlight casting sharp shadows, intense and hardworking mood, cinematic composition, highly detailed, 8k resolution.",Muscular Farmer,Carrying,Heavy sacks of rice
5,2,"Lật đật mà ngày cưới của cô gái đã đến. Hôm ấy trong nhà phú ông người ta bày bàn dọn ghế, giết lợn mổ gà tấp nập. Để cho anh đầy tớ khỏi sinh sự lôi thôi làm lỡ cuộc vui của con mình, phú ông gọi anh đến và bảo:","Before long, the daughter’s wedding day arrived. The landowner’s house was bustling with people setting out tables and chairs, slaughtering pigs and chickens for the feast. To prevent the servant from causing trouble and spoiling the celebration, the landowner summoned him and said:","Traditional Vietnamese painting style, a fat landowner in festive bright red robes, waving hand dismissively towards a farmer, background of servants arranging feast tables and decorations, bright clear daylight, busy and chaotic atmosphere, wide angle shot, masterpiece quality, cinematic lighting.",Fat Landowner,Waving hand dismissively at,Farmer
6,2,"- Con làm việc khá lắm, lão rất ưng ý. Hôm nay lão đã sửa soạn cỗ bàn rồi đây. Nhưng mà con cũng phải có gì làm sính lễ mới được. Ta không đòi tiền bạc ruộng vườn gì cả. Cứ lên rừng chọn cây tre nào có một trăm đốt chặt mang về đây, lão sẽ cho làm lễ thàn","‘You have worked well, and I am very pleased,’ said the landowner. ‘Today the feast has already been prepared. But you must also bring a wedding gift. I ask for no money or land. Just go into the forest, find a bamboo tree with one hundred joints, cut it down, and bring it back here. Then the wedding will be held.’","Traditional Vietnamese painting style, a cunning landowner with a goatee beard in intricate silk tunics, leaning forward with a fake smile, talking to a humble farmer, on a tiled porch with bonsai pots, soft shaded light under the eaves, tense mood, close-up portrait, highly detailed.",Cunning Landowner,Leaning forward / Talking to,Humble Farmer
7,2,"Anh chàng đứng ngẩn người ra một lúc, nhưng sau đó người ta thấy anh cầm rựa cắm cúi ra đi. Lên rừng, anh cố tìm những bụi tre cao rồi lách vào mà chặt. Nhưng mỗi một cây tre ngả xuống là một lần anh thất vọng. Tre trông cao ngất ngưởng là thế nhưng nhiều lắm cũng chỉ đến bốn mươi đốt là cùng.","The young man stood stunned for a moment, then took up his machete and set off for the forest. He searched for tall bamboo groves and cut them down one by one. Each time a bamboo fell, he was disappointed, for although it looked towering, it had no more than forty joints.","Traditional Vietnamese painting style, a weary farmer holding a machete, slumping shoulders and looking down at a pile of short bamboo stalks, in a dense green bamboo forest, dappled sunlight filtering through leaves, melancholic atmosphere, highly detailed, 8k resolution.",Weary Farmer,Looking down at,Pile of short bamboo stalks
8,2,"Tuy vậy, anh vẫn không chịu nản. Anh lại luồn vào những nơi hiểm hóc có những bụi tre già, và mặc cho gai tre tua tủa cào rách cả áo, toạc cả da, anh vẫn không bận tâm, chỉ mong có một cây tre trăm đốt để mang về làm lễ dâng lên bố vợ. Anh giơ cao rựa chặt lấy chặt để. Nhưng tất cả những cây ngả xuống, đếm đi đếm lại cũng chỉ hơn những cây trước chừng dăm bảy đốt là cùng.","Even so, he did not give up. He pushed deeper into dangerous thickets of old bamboo. Sharp thorns tore his clothes and scratched his skin, but he paid them no mind, thinking only of finding a hundred-jointed bamboo to present as a wedding gift. He raised his machete and chopped again and again, yet every fallen bamboo had only a few more joints than the last.","Traditional Vietnamese painting style, a determined farmer with torn clothes and bleeding scratches, chopping vigorously at a dense thorny bamboo thicket, holding a sharp machete, deep forest setting, dramatic light beams piercing through canopy, intense action mood, dynamic angle, masterpiece quality.",Determined Farmer,Chopping at,Thorny bamboo thicket
9,2,"Buồn rầu quá đỗi, anh quẳng rựa xuống đất, ngồi khóc nức nở. Tiếng khóc của anh vang động cả núi rừng. Nghe tiếng khóc, Bụt hiện lên trước mặt, hỏi: - Con là ai? Cớ sao lại ngồi đây mà khóc?","Overcome with sorrow, he threw his machete to the ground and sat down, weeping loudly. His cries echoed through the mountains and forest. Hearing the sound, Bụt appeared before him and asked who he was and why he was crying.","Traditional Vietnamese painting style, an old Bụt with long white beard and glowing white robes, floating on a cloud, looking down at a farmer who is sitting with face buried in hands, in a dark forest, mystical white light radiating from Bụt, magical atmosphere, cinematic composition, highly detailed.",Old Bụt,Floating above / Looking at,Farmer burying face in hands
10,2,"Anh gạt nước mắt kể lể sự tình cho Bụt nghe. Nghe đoạn, Bụt bảo: - Con đừng khóc nữa. Hãy đi chặt lấy một trăm đốt tre mang về đây cho ta.","Wiping away his tears, the farmer told Bụt everything that had happened. After listening, Bụt told him not to cry anymore and instructed him to go and cut one hundred bamboo joints and bring them back.","Traditional Vietnamese painting style, a magical Bụt with kind face, extending a hand to instruct a young farmer, amidst tall green bamboo trees, soft ethereal blue light surrounding the scene, peaceful and spiritual mood, close-up portrait, ultra high resolution.",Magical Bụt,Extending hand to,Young Farmer
11,2,"Anh nông phu lập tức làm theo lời Bụt dặn. Nhưng khi mang đủ một trăm đốt tre về, thì anh lại khóc: - Sao con lại khóc? Anh trả lời Bụt: - Phú ông bảo con chặt cây tre có một trăm đốt, chứ không phải chặt một trăm đốt tre!","The farmer immediately followed Bụt’s instruction. But when he returned with one hundred bamboo joints, he began to cry again. When asked why, he explained that the landowner had demanded a single bamboo tree with one hundred joints, not one hundred separate pieces.","Traditional Vietnamese painting style, a distressed farmer kneeling on knees beside a large pile of one hundred separate bamboo joints, wiping tears from eyes, in a forest clearing, flat natural daylight, hopeless atmosphere, high detail, professional artwork, cinematic lighting.",Distressed Farmer,Kneeling beside,Pile of bamboo joints
12,2,"Bụt yên ủi, rồi bày cho anh sắp một trăm đốt tre lại thành một hàng và hô mấy tiếng: - 'Khắc nhập! Khắc nhập!'. Anh làm theo lời thì màu nhiệm thay, khi mấy tiếng hô vừa phát ra, anh đã thấy tất cả các đốt tre dính vào nhau như là từ một cây sinh ra vậy.","Bụt comforted him and told him to arrange the one hundred bamboo joints in a straight line and chant, ‘Khắc nhập! Khắc nhập!’ As he did so, a miracle occurred: the joints fused together into a single bamboo tree, as if they had grown from one stem.","Traditional Vietnamese painting style, a young farmer standing with mouth open in awe, watching one hundred bamboo joints magically flying and snapping together, in a forest, magical gold swirling light effects, miraculous mood, cinematic shot, masterpiece quality.",Farmer,Watching,Flying bamboo joints
13,2,"Hết sức mừng rỡ, anh vội chạy lại định mang tre về, nhưng dù lấy hết gân sức, cũng không tài nào đỡ lên vai và quay trở được. Loay hoay mãi, cuối cùng anh buông tre rồi ngồi phịch xuống đất khóc. Bụt lại hỏi: - Làm sao con lại khóc nữa?","Filled with joy, he hurried forward to carry the bamboo home. But no matter how hard he tried, he could not lift it onto his shoulder. After struggling for a long while, he let it fall and sat down crying again. Bụt asked him why he was crying once more.","Traditional Vietnamese painting style, a struggling farmer trying to lift an incredibly long green bamboo tree, veins popping on arms, sweating profusely, on a forest path, bright harsh sunlight, exhausting atmosphere, dynamic low angle, highly detailed, 4k quality.",Struggling Farmer,Trying to lift,Long bamboo tree
14,2,"- Cây tre dài quá, anh đáp. Con không làm sao mà đưa về nổi. Bụt lại bảo anh hô lên mấy tiếng: - 'Khắc xuất! Khắc xuất!'. Anh vừa hô xong thì cũng mầu nhiệm không kém gì lần trước, những đốt tre tự nhiên rời ra ngay.","‘The bamboo is too long,’ he replied. ‘I cannot carry it home.’ Bụt then told him to chant, ‘Khắc xuất! Khắc xuất!’ As soon as he spoke, the bamboo joints miraculously separated, just as before.","Traditional Vietnamese painting style, a relieved farmer sitting on the ground, watching a long bamboo tree magically popping apart into individual joints, forest background, soft diffused afternoon light, calm mood, high resolution, highly detailed, masterpiece quality.",Relieved Farmer,Watching,Tree popping apart
15,2,"Anh mừng quá, hết lời cảm ơn Bụt, rồi xếp tre làm hai bó, quảy ra khỏi cửa rừng. Anh về đến nhà, giữa lúc hai họ đang cỗ bàn linh đình, cô dâu chú rể sắp bước vào lễ cưới. Anh lẳng lặng đặt gánh tre giữa sân rồi gọi phú ông ra nhận sính lễ.","Overjoyed, the farmer thanked Bụt again and again. He tied the bamboo into two bundles and carried them out of the forest. When he reached the landowner’s house, both families were feasting, and the bride and groom were about to begin the wedding ceremony. He quietly placed the bamboo in the courtyard and called the landowner to receive the wedding gift.","Traditional Vietnamese painting style, a poor farmer balancing two heavy bundles of bamboo on a yoke, walking into a festive courtyard filled with guests in colorful ao dai, late afternoon golden hour light, contrasting atmosphere, wide angle shot, masterpiece quality.",Poor Farmer,Balancing / Walking with,Two heavy bundles of bamboo
16,2,"Thấy các đốt tre, phú ông vội quát: - Tao bảo mày chặt cho được một cây tre trăm đốt, chứ có phải chặt một trăm đốt tre đâu! Rõ ngớ ngẩn!","Seeing the separate bamboo joints, the landowner shouted angrily, saying that he had demanded a single hundred-jointed bamboo tree, not one hundred individual pieces.","Traditional Vietnamese painting style, a furious landowner in red brocade robes, screaming with wide mouth and pointing accusingly at a pile of loose bamboo joints, surrounded by guests covering their mouths, in a tiled courtyard, dramatic side lighting, angry mood, close-up portrait, highly detailed.",Furious Landowner,Screaming / Pointing at,Pile of loose bamboo
